played_at,track_name,artist_name,track_duration_ms,playlist_name,popularity,artist_genres,album_name,album_release_date,track_id,album_id,artist_ids,playlist_id
2024-08-27 10:26:59,TWISTED,AViVA,158335,,47,"alt z, vapor pop",VOLUME II,2021-10-29,2iBXGnObYLUDxZiTnbX1a4,2OFJ3B3DyRkIr1zWNnGtBu,50tDsT4wwq8FCMJNkn1D67,
2024-08-27 10:29:27,L*** Is a Bad Word,Kiiara,146997,,45,"alt z, electropop",L*** Is a Bad Word,2018-10-26,3Kvce9qtIAmR4Axtq7mdGl,7JYRWs2N4Mn4LmcBfT3oRh,4u5smJBskI6Adzv08PuiUP,
2024-08-27 10:32:26,Demons,Hayley Kiyoko,179612,,50,"alt z, indie poptimism, pop",demons,2019-10-11,3EQMcKkWEB0LKLyRuspibc,6nRu1dwPkZlk467QaV1Q0N,3LjhVl7GzYsza1biQjTpaN,
2024-08-27 10:35:57,Own Me,bülow,209306,,44,"alt z, indietronica",The Contender,2019-10-04,2CnscesDhDpF7LpURtgBEv,75OmZv2K9rN3ySHEvc8GIQ,5vBrKGOjN10BMwB0cJADj4,
2024-08-27 10:40:04,People disappear here,Halsey,247680,,30,"electropop, etherpop, indie poptimism, pop","If I Can’t Have Love, I Want Power (Extended)",2022-01-03,76gkzHEZKCrHwXqv4JsE1o,1p2rkkve941Ic11dfzfrJD,26VFTg2z8YR0cCuwLzESi2,
2024-08-27 10:44:17,Marraskuu,Touko Kuu,252634,,0,,Marraskuu,2021-11-17,7DhYghqEzml5vl1ElyCfq8,6ikpNutX9sIBcAItmf4khj,2aGwWbcIReux1rRhTgRmj6,
2024-08-27 10:47:38,avalanche,Christian French,199512,,49,"alt z, electropop, singer-songwriter pop",avalanche,2021-06-25,1RlmAzI27AlIpvoRN3u6Iy,0ISJeQO2OoleGkf5ZxNyuE,7naAJDAh7AZnf18YYfQruM,
2024-08-27 10:50:27,Toxic,BoyWithUke,168020,,65,sad rap,Toxic,2021-10-29,2gQPv5jvVPqU2a9HhMNO1v,4cmu24lnj0NI8lHG6vra6h,1Cd373x8qzC7SNUg5IToqp,
2024-08-27 10:53:51,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),"Amaarae, Kali Uchis, Moliy",204763,,73,"afro r&b, afrobeats, alternative r&b, ghanaian alternative, ghanaian pop",SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),2021-09-16,09gysnJpfQ3ublBmJDfcEC,4q4rHdKxyCzxuQrPcdjPyC,"21UPYSRWFKwtqvSAnFnSvS, 1U1el3k54VvEUzo3ybLPlM, 2hVWBpjLW4Q7fboYz2pVYK",
2024-08-27 10:56:34,Life Goes On,Oliver Tree,161803,,72,alternative hip hop,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",2021-05-28,0eu4C55hL6x29mmeAjytzC,5vP0fNictdWyU48o83Q7ob,6TLwD7HPWuiOzvXEa3oCNe,
2024-08-27 11:00:31,Bright Like Hollywood,"Atom Smith, Burkey",236160,,24,electro swing,Bass Age Big Band,2020-10-02,1WQ38DqFp6oswzrB0l45H3,5mjTjPdZzIuMDmJPQu3Ywq,"6ExlnA1FV2yvFCVlurHsc2, 7K7CqoitJpzluwr5ZhuCwx",
2024-08-27 11:04:07,Miracle,Caravan Palace,216213,,43,"electro swing, nu jazz",Chronologic,2019-08-30,5uKKPK1HAdPL3y4CEQDL7q,36AWYqwFvbAbxxCFgbRfJo,37J1PlAkhRK7yrZUtqaUpQ,
2024-08-27 11:07:28,Follow the Stars,Swingrowers,199977,,32,electro swing,Hybrid,2021-03-26,0SEHWMK1nqmIWbP6i92XcM,2opYVwuKN6Ycgdsj3hF5ka,3mp5zzEz1qTq7X5a2yOS2B,
2024-08-27 11:11:19,Lone Digger,Caravan Palace,229804,,57,"electro swing, nu jazz",<I°_°I>,2015-10-16,3Y91fIpStxQrUaXuaTbGVv,1BMsvIq5sueuo1b0ySLQZO,37J1PlAkhRK7yrZUtqaUpQ,
2024-08-27 11:15:03,Mr Magpie - Jamie Berry Remix,"The Electric Swing Circus, Jamie Berry",224588,,30,electro swing,The Electric Swing Circus - Remixed Vol. 1,2018-11-06,7GeJy444mvPIpFby9zUaWP,4u9XMOUCEU0NG39YcCnql0,"3MUnAJMKx97SfTZYNB2iXY, 5sM4cZ9MHihs0tbmkiE9n8",
2024-08-27 11:18:37,Bad Things,Klischée,213056,,22,electro swing,Bad Things,2021-02-19,74VLacRGe9O7UUKDo74mb9,7Gu6P01XdOnTdLUyjdJyMu,6qokeohfvbaNK1m0VfIEtB,
