track_name,artist_name,track_duration_ms,popularity,artist_genres,album_name,album_release_date,track_id,album_id,artist_ids
Afraid of Quiet,"Lydia the Bard, Ben Tomalin",183014,52,,Afraid of Quiet,2024-05-18,2hETlIC41ua0yYcPyE5WLI,44ozYQu5laX3TgKDDTalpc,"4dYuygkzjqrehCNZMTjkNJ, 19kzH2dKYDamaNJ1e0OO4X"
Rararainbowmuffin,Tsundere Twintails,135562,42,sillycore,Latte and a Muffin,2018-02-04,0FAby1j0xhi9cvJXuUtIdh,1r3Cw28qOUPLl8Qh7ibDlc,4Rpi0HMTWTc9EQFdOPbRzY
Cat Cafe,Tsundere Twintails,185764,45,sillycore,Cat Cafe,2022-05-01,0FVNutqCSpNkFMwADm6v8h,121XsXDqHvPHsLZ7f8IIHf,4Rpi0HMTWTc9EQFdOPbRzY
Rest Area,Tsundere Twintails,133714,46,sillycore,Rest Area,2021-11-16,2iUtfZasBpCCUJLbBsmg0V,0OHfNxGjj1ajk1qi4cztRu,4Rpi0HMTWTc9EQFdOPbRzY
Feel Good (If It Was Easy),"Odd Chap, Elle & The Pocket Belles",209497,11,electro swing,Feel Good (If It Was Easy),2023-07-21,2r4RTDw9yS5f5ZgxK4C3nU,19BEjnIizZsrRRoNojv3Ui,"2bUYKdepfgDuZiRQJdvooU, 0MbDNDhsDB35CyvApzybJt"
Sunshine,Tsundere Twintails,89116,44,sillycore,Sunshine,2021-10-19,4pRf1fvR3ar6hoBZmwAlmg,1RVjqcCssgJ7718lFcLv6M,4Rpi0HMTWTc9EQFdOPbRzY
Lonely,Akon,235800,78,dance pop,Trouble Deluxe Edition,2005-01-01,4v7DCN09hgXkKazefkznDQ,77eKpEVxmSr1RhqMlirlTF,0z4gvV4rjIZ9wHck67ucSV
Lalalatte,Tsundere Twintails,133842,46,sillycore,Latte and a Muffin,2018-02-04,5IjTpw72dT98mVjCX6rOab,1r3Cw28qOUPLl8Qh7ibDlc,4Rpi0HMTWTc9EQFdOPbRzY
Head Empty,Tsundere Twintails,184285,51,sillycore,Head Empty,2022-08-03,76HU45f9gDYBa0CmlGTrUR,2DJdB1ZSWuQRSjJ5RkkZVh,4Rpi0HMTWTc9EQFdOPbRzY
THE DINER,Billie Eilish,186346,82,"art pop, pop",HIT ME HARD AND SOFT,2024-05-17,1LLUoftvmTjVNBHZoQyveF,7aJuG4TFXa2hmE4z1yxc3n,6qqNVTkY8uBg9cP3Jd7DAH
Strangers,Kenya Grace,172964,78,singer-songwriter pop,The After Taste,2024-03-21,593knnQN4REEshx8th9zgK,4EmlLRONqsYR1rKvw079xN,7uMDnSZyUYNBPLhPMNuaM2
The Spark,"Kabin Crew, Lisdoonvarna Crew",146384,78,,The Spark,2024-06-13,0bhnFakmRioZbuQcmhVwoH,6xNvkXuK0QL7vr9wEsCREW,"6BHou7i94KE1FpHgDVWZEK, 7BUWoquo4gsA4kREUujbSi"
it boy,bbno$,145846,77,"canadian hip hop, dark trap, meme rap",it boy,2024-05-24,2UerDbZznc07mmGMD3WfHH,6tl4X5mM1eOnkWr7oB5LAM,41X1TR6hrK8Q2ZCpp2EqCz
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),"Amaarae, Kali Uchis, Moliy",204763,73,"afro r&b, afrobeats, alternative r&b, ghanaian alternative, ghanaian pop",SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),2021-09-16,09gysnJpfQ3ublBmJDfcEC,4q4rHdKxyCzxuQrPcdjPyC,"21UPYSRWFKwtqvSAnFnSvS, 1U1el3k54VvEUzo3ybLPlM, 2hVWBpjLW4Q7fboYz2pVYK"
Tobey (feat. Big Sean and BabyTron),"Eminem, Big Sean, BabyTron",284903,78,"detroit hip hop, hip hop, rap",The Death of Slim Shady (Coup De Grâce),2024-07-12,1ymWIr4E5x6xORlDO0bXlP,3kjHLu1pL7tdY88GFwEkl6,"7dGJo4pcD2V6oG8kP0tJRR, 0c173mlxpT3dSFRgMO8XPh, 0sKsReKseslDlhxmbN6wLk"
Houdini,Eminem,227239,89,"detroit hip hop, hip hop, rap",Houdini,2024-05-31,2HYFX63wP3otVIvopRS99Z,6Xuu2z00jxRPZei4IJ9neK,7dGJo4pcD2V6oG8kP0tJRR
Lemonade,Fox Stevenson,192917,43,"complextro, dancefloor dnb, electro house",Lemonade,2024-02-23,34URhzu6NVS1QiFfvkE1Q3,0E4HEys0ZdiGCO3hxaKvVd,2BQWHuvxG4kMYnfghdaCIy
