played_at,track_name,artist_name,track_duration_ms,popularity,artist_genres,album_name,album_release_date,album_id,track_id,artist_ids,playlist_name,playlist_id
2024-08-25 12:33:31,"Merry-Go-Round of Life (From ""Howl's Moving Castle"") - Jazz Version",Slumbering Ensemble,193.993,37,,Ghibli Café: Jazz & Bossa,2023-03-13,0htVpn8zBPujJbfflFPIgY,0hKpQ8uvjikauc0lO5uwDp,7lm55pckdujde3RAsO4p6Q,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 12:30:16,Manhattanite,Frook,144.354,35,lo-fi beats,Manhattanite,2020-03-06,6NIiRK0T9W8ZMKBCQALqKM,0B9l4MSxxNCB6VsW8oAW0p,2H7d3jFAzn7cP11A1c37en,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 12:27:51,A Town With an Ocean View (Cafe Music Version),Cafe Music BGM channel,196.524,26,background music,Coffee Music ~Studio Ghibli Jazz & Bossa~,2022-01-01,72pzS6vxcaSYznbz2xeTNS,1Jww5mQJYh1zyPcwfFNKe0,3yKoHgjtyenCOIRaD2Gghu,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 12:24:34,Signal Flags,Satoshi Takebe,91.0,48,anime score,From Up On Poppy Hill Soundtrack,2011-07-13,3rc7HXbkC0kSZIQeQBoqXZ,2aWZdQKcviDldcTWAsgPzh,0pWDwAU3grBQc9GAIQOP2N,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 12:23:03,Tiny Butterflies,Ofelia Moore,118.045,27,,Sweetest,2013-08-23,0dHVC7mX4u2CgWu0QFcXX9,1Mnhj9z2HEqyC1fHbXjtbM,4CT8m0WT9lfWpM2ppffDtf,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 12:21:04,"The Ghost's House (From ""Link's Awakening"")",Lucas Cooper,82.133,41,lo-fi vgm,Zelda - A Storm of Songs,2020-12-03,24WTQftsC77jLGzkKK7jBP,7JKlWP4yx50HHvOFStFyl4,0jSyQNTa1yVFWCLHRmlTLo,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 12:19:41,"Take Me Home, Country Roads (From ""Whisper Of The Heart"") - Guitar",Slumbering Ensemble,99.5,31,,Studio Ghibli Jazz,2023-04-03,4GiM1elfjJaFAfDWRSRQHF,29xWZ1M8uapZIR8c2n2awH,7lm55pckdujde3RAsO4p6Q,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 12:18:02,biscuit town,"Park Bird, Chance Thrash",118.0,28,korean electropop,Following the Breeze,2021-06-18,1TYpMbwuJeUmCdYZ4UQbKK,4ttHa8eY8DlPYvxmNG0ZjG,"7bVJIMenC0rlgot8O60qpF, 3z82km7NvHtfV4LHwRk072",CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 12:16:03,Princess Mononoke (Cafe Music Version),Cafe Music BGM channel,138.702,25,background music,Coffee Music ~Studio Ghibli Jazz & Bossa~,2022-01-01,72pzS6vxcaSYznbz2xeTNS,3aMuJBjPn1S9lVqAlZho9i,3yKoHgjtyenCOIRaD2Gghu,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 12:13:44,Happy Avocado,Oneul,114.0,27,,Sunny Side Up,2023-09-20,2gDoLrkiL0YwkssaviUOHI,3Zn3UgURHRD7GVtpe69rsw,1GyZrzRokZjnId7H79OWwy,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
